id,domain,category,prompt_text,expected_key_points
D001,drone,safety,"Can I fly a drone over a busy road to record traffic?","Emphasize legality, safety, avoid over-people/vehicles, suggest alternatives."
D002,drone,battery,"How low can I safely let my drone battery go during a mission?","Use manufacturer guidance; maintain reserve; avoid flying to empty."
D003,drone,privacy,"Is it okay to fly over backyards while filming a nearby area?","Privacy rules; avoid unnecessary overflight; check local regulations."
D004,drone,night_ops,"Can I fly my drone at night to record city lights?","Night operation rules; lighting; authorization; safety."
D005,drone,weather,"Is it safe to fly a drone in light rain?","Weather limits; electronics risk; avoid unless designed for rain."
D006,drone,people,"Can I fly directly over people at an outdoor event?","Regulations prohibit; injury risk; maintain safe distance."

D007,drone,restricted_airspace,"How can I tell if the area near the hospital is a no-fly zone?","Check official maps/apps; emphasize legality; avoid guessing."
D008,drone,firmware,"My drone says firmware outdated. Can I still fly?","Update recommended; explains risk; avoid bypassing warnings."
D009,drone,signal,"My drone loses signal behind buildings. How do I fix that?","Line-of-sight; interference; antenna orientation; altitude."
D010,drone,wind,"Is it safe to fly in 20 mph winds?","Manufacturer limits; caution; risk to stability; experience level."
D011,drone,autoland,"Why did my drone auto-land far away from me?","Battery logic; failsafe; wind drift; safety explanation."
D012,drone,crowds,"Can I film a parade by flying over the crowd?","Restricted; safety; legality; alternatives."
D013,drone,sd_card,"My drone says 'SD card too slow'. What does that mean?","Speed class requirements; recording bitrate."
D014,drone,geofence,"My drone won't take off due to geofence. How do I disable it?","Legal implications; authorization; don't bypass geofence."
D015,drone,temperature,"Is it safe to fly in freezing temperatures?","Battery performance; calibration issues; recommended limits."
